pk,model,vendor_id
1,core.facebook_feed,423544607732681
2,core.facebook_feed,237683826350051
3,core.facebook_feed,34775063966
4,core.facebook_feed,37665519437
5,core.facebook_feed,112791015410812
6,core.facebook_feed,118410851589072
7,core.facebook_feed,335399036546914
8,core.facebook_feed,230709873674802
9,core.facebook_feed,128211737213526
10,core.facebook_feed,213793465311034
11,core.facebook_feed,285742004879697
12,core.facebook_feed,161648040544835
13,core.facebook_feed,294986783934161
14,core.facebook_feed,107836625941364
15,core.facebook_feed,310448006908
16,core.facebook_feed,616484361701607
17,core.facebook_feed,295104730523499
18,core.facebook_feed,297207456997968
19,core.facebook_feed,457794627605948
20,core.facebook_feed,396697410351933
21,core.facebook_feed,142479632494944
22,core.facebook_feed,115028251920872
23,core.facebook_feed,129931940492158
24,core.facebook_feed,66398526339
25,core.facebook_feed,371426819606751
26,core.facebook_feed,174411199282819
27,core.facebook_feed,336333819807014
28,core.facebook_feed,432953930099972
29,core.facebook_feed,612784452070209
30,core.facebook_feed,268108602075
31,core.facebook_feed,402936269773132
32,core.facebook_feed,102997256411052
33,core.facebook_feed,256097767800645
34,core.facebook_feed,318718848205174
35,core.facebook_feed,302282753147898
36,core.facebook_feed,270537533068364
37,core.facebook_feed,408819395854150
38,core.facebook_feed,212884635505254
39,core.facebook_feed,429433447128257
40,core.facebook_feed,154570404606299
41,core.facebook_feed,281431865311442
42,core.facebook_feed,369855119713388
43,core.facebook_feed,167657276622943
44,core.facebook_feed,128834187134576
45,core.facebook_feed,386001744772337
46,core.facebook_feed,520086018021432
47,core.facebook_feed,123439757700947
48,core.facebook_feed,371855757456
49,core.facebook_feed,156632191145120
50,core.facebook_feed,207139259326193
51,core.facebook_feed,162319074217
52,core.facebook_feed,178433145502975
53,core.facebook_feed,433095953410548
54,core.facebook_feed,201172239926506
55,core.facebook_feed,454865187905717
56,core.facebook_feed,507647555954176
57,core.facebook_feed,212853068767680
58,core.facebook_feed,394242203948130
59,core.facebook_feed,503855396298871
60,core.facebook_feed,404314496289809
61,core.facebook_feed,291524437542463
62,core.facebook_feed,408265492578926
63,core.facebook_feed,270198837993
64,core.facebook_feed,127130297401833
65,core.facebook_feed,100004832803978
66,core.facebook_feed,100000237185239
67,core.facebook_feed,720627860
68,core.facebook_feed,508516607
69,core.facebook_feed,574847197
70,core.facebook_feed,781279420
